input_idx,layer_name,layer_type,op_type,M,K,P,input_sparsity,output_sparsity,weight_sparsity,input_shape,output_shape
2,layer3.0.conv3,Conv2d,MM,196,256,1024,0.47187898596938777,0.0,0.0,"(1, 256, 14, 14)","(1, 1024, 14, 14)"
2,layer3.0.downsample.0,Conv2d,MM,196,512,1024,0.3543651347257653,0.0,0.0,"(1, 512, 28, 28)","(1, 1024, 14, 14)"
2,layer3.1.conv1,Conv2d,MM,196,1024,256,0.49856505102040816,0.0,0.0,"(1, 1024, 14, 14)","(1, 256, 14, 14)"
2,layer3.1.conv2,Conv2d,MM,196,2304,256,0.5058394451530612,0.0,0.0,"(1, 256, 14, 14)","(1, 256, 14, 14)"
2,layer3.1.conv3,Conv2d,MM,196,256,1024,0.4733139349489796,0.0,0.0,"(1, 256, 14, 14)","(1, 1024, 14, 14)"
2,layer3.2.conv1,Conv2d,MM,196,1024,256,0.3806202168367347,0.0,0.0,"(1, 1024, 14, 14)","(1, 256, 14, 14)"
2,layer3.2.conv2,Conv2d,MM,196,2304,256,0.5464564732142857,0.0,0.0,"(1, 256, 14, 14)","(1, 256, 14, 14)"
2,layer3.2.conv3,Conv2d,MM,196,256,1024,0.5173588966836735,0.0,0.0,"(1, 256, 14, 14)","(1, 1024, 14, 14)"
2,layer3.3.conv1,Conv2d,MM,196,1024,256,0.34263891103316324,0.0,0.0,"(1, 1024, 14, 14)","(1, 256, 14, 14)"
2,layer3.3.conv2,Conv2d,MM,196,2304,256,0.5264269770408163,0.0,0.0,"(1, 256, 14, 14)","(1, 256, 14, 14)"
2,layer3.3.conv3,Conv2d,MM,196,256,1024,0.49740911989795916,0.0,0.0,"(1, 256, 14, 14)","(1, 1024, 14, 14)"
2,layer3.4.conv1,Conv2d,MM,196,1024,256,0.3515027104591837,0.0,0.0,"(1, 1024, 14, 14)","(1, 256, 14, 14)"
2,layer3.4.conv2,Conv2d,MM,196,2304,256,0.5409558354591837,0.0,0.0,"(1, 256, 14, 14)","(1, 256, 14, 14)"
2,layer3.4.conv3,Conv2d,MM,196,256,1024,0.47181919642857145,0.0,0.0,"(1, 256, 14, 14)","(1, 1024, 14, 14)"
2,layer3.5.conv1,Conv2d,MM,196,1024,256,0.30667051977040816,0.0,0.0,"(1, 1024, 14, 14)","(1, 256, 14, 14)"
2,layer3.5.conv2,Conv2d,MM,196,2304,256,0.5261878188775511,0.0,0.0,"(1, 256, 14, 14)","(1, 256, 14, 14)"
2,layer3.5.conv3,Conv2d,MM,196,256,1024,0.5196308992346939,0.0,0.0,"(1, 256, 14, 14)","(1, 1024, 14, 14)"
2,layer4.0.conv1,Conv2d,MM,196,1024,512,0.351986009247449,0.0,0.0,"(1, 1024, 14, 14)","(1, 512, 14, 14)"
2,layer4.0.conv2,Conv2d,MM,49,4608,512,0.49868463010204084,0.0,0.0,"(1, 512, 14, 14)","(1, 512, 7, 7)"
2,layer4.0.conv3,Conv2d,MM,49,512,2048,0.48337850765306123,0.0,0.0,"(1, 512, 7, 7)","(1, 2048, 7, 7)"
2,layer4.0.downsample.0,Conv2d,MM,49,1024,2048,0.351986009247449,0.0,0.0,"(1, 1024, 14, 14)","(1, 2048, 7, 7)"
2,layer4.1.conv1,Conv2d,MM,49,2048,512,0.48849051339285715,0.0,0.0,"(1, 2048, 7, 7)","(1, 512, 7, 7)"
2,layer4.1.conv2,Conv2d,MM,49,4608,512,0.5011160714285714,0.0,0.0,"(1, 512, 7, 7)","(1, 512, 7, 7)"
2,layer4.1.conv3,Conv2d,MM,49,512,2048,0.511360012755102,0.0,9.5367431640625e-07,"(1, 512, 7, 7)","(1, 2048, 7, 7)"
2,layer4.2.conv1,Conv2d,MM,49,2048,512,0.3785375478316326,0.0,0.0,"(1, 2048, 7, 7)","(1, 512, 7, 7)"
2,layer4.2.conv2,Conv2d,MM,49,4608,512,0.5112005739795918,0.0,0.0,"(1, 512, 7, 7)","(1, 512, 7, 7)"
