input_idx,layer_name,layer_type,op_type,M,K,P,input_sparsity,output_sparsity,weight_sparsity,nm_compatibility,input_shape,output_shape
2,layer3.0.downsample.0,Conv2d,MM,196,512,1024,0.302,0.0,0.5,1.0,"(1, 512, 28, 28)","(1, 1024, 14, 14)"
2,layer3.1.conv1,Conv2d,MM,196,1024,256,0.4909,0.0,0.5,1.0,"(1, 1024, 14, 14)","(1, 256, 14, 14)"
2,layer3.1.conv2,Conv2d,MM,196,2304,256,0.5544,0.0,0.5,1.0,"(1, 256, 14, 14)","(1, 256, 14, 14)"
2,layer3.1.conv3,Conv2d,MM,196,256,1024,0.5402,0.0,0.5,1.0,"(1, 256, 14, 14)","(1, 1024, 14, 14)"
2,layer3.2.conv1,Conv2d,MM,196,1024,256,0.3675,0.0,0.5,1.0,"(1, 1024, 14, 14)","(1, 256, 14, 14)"
2,layer3.2.conv2,Conv2d,MM,196,2304,256,0.5104,0.0,0.5,1.0,"(1, 256, 14, 14)","(1, 256, 14, 14)"
2,layer3.2.conv3,Conv2d,MM,196,256,1024,0.5077,0.0,0.5,1.0,"(1, 256, 14, 14)","(1, 1024, 14, 14)"
2,layer3.3.conv1,Conv2d,MM,196,1024,256,0.3219,0.0,0.5,1.0,"(1, 1024, 14, 14)","(1, 256, 14, 14)"
2,layer3.3.conv2,Conv2d,MM,196,2304,256,0.5021,0.0,0.5,1.0,"(1, 256, 14, 14)","(1, 256, 14, 14)"
2,layer3.3.conv3,Conv2d,MM,196,256,1024,0.5494,0.0,0.5,1.0,"(1, 256, 14, 14)","(1, 1024, 14, 14)"
2,layer3.4.conv1,Conv2d,MM,196,1024,256,0.3158,0.0,0.5,1.0,"(1, 1024, 14, 14)","(1, 256, 14, 14)"
2,layer3.4.conv2,Conv2d,MM,196,2304,256,0.4912,0.0,0.5,1.0,"(1, 256, 14, 14)","(1, 256, 14, 14)"
2,layer3.4.conv3,Conv2d,MM,196,256,1024,0.4775,0.0,0.5,1.0,"(1, 256, 14, 14)","(1, 1024, 14, 14)"
2,layer3.5.conv1,Conv2d,MM,196,1024,256,0.3406,0.0,0.5,1.0,"(1, 1024, 14, 14)","(1, 256, 14, 14)"
2,layer3.5.conv2,Conv2d,MM,196,2304,256,0.4817,0.0,0.5,1.0,"(1, 256, 14, 14)","(1, 256, 14, 14)"
2,layer3.5.conv3,Conv2d,MM,196,256,1024,0.4913,0.0,0.5,1.0,"(1, 256, 14, 14)","(1, 1024, 14, 14)"
2,layer4.0.conv1,Conv2d,MM,196,1024,512,0.3164,0.0,0.5,1.0,"(1, 1024, 14, 14)","(1, 512, 14, 14)"
2,layer4.0.conv2,Conv2d,MM,49,4608,512,0.5375,0.0,0.5,1.0,"(1, 512, 14, 14)","(1, 512, 7, 7)"
2,layer4.0.conv3,Conv2d,MM,49,512,2048,0.5227,0.0,0.5,1.0,"(1, 512, 7, 7)","(1, 2048, 7, 7)"
2,layer4.0.downsample.0,Conv2d,MM,49,1024,2048,0.3164,0.0,0.5,1.0,"(1, 1024, 14, 14)","(1, 2048, 7, 7)"
2,layer4.1.conv1,Conv2d,MM,49,2048,512,0.4854,0.0,0.5,1.0,"(1, 2048, 7, 7)","(1, 512, 7, 7)"
2,layer4.1.conv2,Conv2d,MM,49,4608,512,0.5285,0.0,0.5,1.0,"(1, 512, 7, 7)","(1, 512, 7, 7)"
2,layer4.1.conv3,Conv2d,MM,49,512,2048,0.5226,0.0,0.5,1.0,"(1, 512, 7, 7)","(1, 2048, 7, 7)"
2,layer4.2.conv1,Conv2d,MM,49,2048,512,0.3582,0.0,0.5,1.0,"(1, 2048, 7, 7)","(1, 512, 7, 7)"
2,layer4.2.conv2,Conv2d,MM,49,4608,512,0.4715,0.0,0.5,1.0,"(1, 512, 7, 7)","(1, 512, 7, 7)"
2,layer4.2.conv3,Conv2d,MM,49,512,2048,0.497,0.0,0.5,1.0,"(1, 512, 7, 7)","(1, 2048, 7, 7)"
2,fc,Linear,MV,1,2048,1000,0.0542,0.0,0.5,1.0,"(1, 2048)","(1, 1000)"
3,conv1,Conv2d,MM,12544,147,64,0.0,0.0,0.5,1.0,"(1, 3, 224, 224)","(1, 64, 112, 112)"
3,layer1.0.conv1,Conv2d,MM,3136,64,64,0.0023,0.0,0.5,1.0,"(1, 64, 56, 56)","(1, 64, 56, 56)"
3,layer1.0.conv2,Conv2d,MM,3136,576,64,0.4496,0.0,0.5,1.0,"(1, 64, 56, 56)","(1, 64, 56, 56)"
3,layer1.0.conv3,Conv2d,MM,3136,64,256,0.5019,0.0,0.5,1.0,"(1, 64, 56, 56)","(1, 256, 56, 56)"
3,layer1.0.downsample.0,Conv2d,MM,3136,64,256,0.0023,0.0,0.5,1.0,"(1, 64, 56, 56)","(1, 256, 56, 56)"
3,layer1.1.conv1,Conv2d,MM,3136,256,64,0.4779,0.0,0.5,1.0,"(1, 256, 56, 56)","(1, 64, 56, 56)"
3,layer1.1.conv2,Conv2d,MM,3136,576,64,0.4936,0.0,0.5,1.0,"(1, 64, 56, 56)","(1, 64, 56, 56)"
3,layer1.1.conv3,Conv2d,MM,3136,64,256,0.5639,0.0,0.5,1.0,"(1, 64, 56, 56)","(1, 256, 56, 56)"
3,layer1.2.conv1,Conv2d,MM,3136,256,64,0.3404,0.0,0.5,1.0,"(1, 256, 56, 56)","(1, 64, 56, 56)"
3,layer1.2.conv2,Conv2d,MM,3136,576,64,0.5096,0.0,0.5,1.0,"(1, 64, 56, 56)","(1, 64, 56, 56)"
3,layer1.2.conv3,Conv2d,MM,3136,64,256,0.4899,0.0,0.5,1.0,"(1, 64, 56, 56)","(1, 256, 56, 56)"
3,layer2.0.conv1,Conv2d,MM,3136,256,128,0.3022,0.0,0.5,1.0,"(1, 256, 56, 56)","(1, 128, 56, 56)"
3,layer2.0.conv2,Conv2d,MM,784,1152,128,0.4852,0.0,0.5,1.0,"(1, 128, 56, 56)","(1, 128, 28, 28)"
3,layer2.0.conv3,Conv2d,MM,784,128,512,0.478,0.0,0.5,1.0,"(1, 128, 28, 28)","(1, 512, 28, 28)"
3,layer2.0.downsample.0,Conv2d,MM,784,256,512,0.3022,0.0,0.5,1.0,"(1, 256, 56, 56)","(1, 512, 28, 28)"
3,layer2.1.conv1,Conv2d,MM,784,512,128,0.4761,0.0,0.5,1.0,"(1, 512, 28, 28)","(1, 128, 28, 28)"
3,layer2.1.conv2,Conv2d,MM,784,1152,128,0.5456,0.0,0.5,1.0,"(1, 128, 28, 28)","(1, 128, 28, 28)"
3,layer2.1.conv3,Conv2d,MM,784,128,512,0.4632,0.0,0.5,1.0,"(1, 128, 28, 28)","(1, 512, 28, 28)"
3,layer2.2.conv1,Conv2d,MM,784,512,128,0.3322,0.0,0.5,1.0,"(1, 512, 28, 28)","(1, 128, 28, 28)"
3,layer2.2.conv2,Conv2d,MM,784,1152,128,0.4392,0.0,0.5,1.0,"(1, 128, 28, 28)","(1, 128, 28, 28)"
3,layer2.2.conv3,Conv2d,MM,784,128,512,0.5624,0.0,0.5,1.0,"(1, 128, 28, 28)","(1, 512, 28, 28)"
3,layer2.3.conv1,Conv2d,MM,784,512,128,0.344,0.0,0.5,1.0,"(1, 512, 28, 28)","(1, 128, 28, 28)"
3,layer2.3.conv2,Conv2d,MM,784,1152,128,0.4868,0.0,0.5,1.0,"(1, 128, 28, 28)","(1, 128, 28, 28)"
3,layer2.3.conv3,Conv2d,MM,784,128,512,0.5783,0.0,0.5,1.0,"(1, 128, 28, 28)","(1, 512, 28, 28)"
3,layer3.0.conv1,Conv2d,MM,784,512,256,0.302,0.0,0.5,1.0,"(1, 512, 28, 28)","(1, 256, 28, 28)"
3,layer3.0.conv2,Conv2d,MM,196,2304,256,0.4624,0.0,0.5,1.0,"(1, 256, 28, 28)","(1, 256, 14, 14)"
